customer_id,total_orders,total_amount,repeat_purchaser
8.0,11,27500,1
9.0,2,6797,1
10.0,12,31200,1
12.0,7,17200,1
14.0,112,384436,1
16.0,2,4779,1
17.0,1,34,0
18.0,1,34,0
20.0,1,34,0
21.0,1,4800,0
23.0,387,946765,1
28.0,1,5200,0
33.0,1,1500,0
40.0,513,2096743,1
42.0,27,125235,1
43.0,7,17990,1
44.0,1,1500,0
45.0,1,4300,0
46.0,1,3600,0
47.0,1,2400,0
48.0,2,14500,1
52.0,1,400,0
53.0,2,800,1
54.0,1,400,0
55.0,22,60817,1
56.0,1,800,0
57.0,1,4500,0
58.0,39,5096889,1
59.0,1,160000,0
60.0,1,125000,0
61.0,1,135000,0
62.0,1,80000,0
63.0,1,115000,0
64.0,1,120000,0
65.0,1,125000,0
66.0,1,123500,0
67.0,14,30485,1
68.0,1,1000,0
69.0,1,150000,0
70.0,2,3438,1
71.0,1,4687,0
72.0,1,4760,0
73.0,31,69408,1
74.0,2,4830,1
76.0,3,5750,1
78.0,15,187909,1
80.0,1,4930,0
81.0,183,715727,1
83.0,1,2598,0
84.0,5,27339,1
88.0,4,3429,1
89.0,1,316000,0
90.0,9,23800,1
91.0,698,2509904,1
92.0,19,53409,1
93.0,194,249481,1
94.0,1,2400,0
95.0,2,5200,1
96.0,1,3100,0
97.0,1,4000,0
99.0,6,16106,1
100.0,1,3100,0
101.0,1,130,0
102.0,1,130,0
103.0,1,130,0
104.0,108,390514,1
106.0,1,2000,0
111.0,1,2398,0
113.0,3,7000,1
114.0,1,2200,0
115.0,1,2550,0
116.0,1,500,0
117.0,1,1225,0
118.0,440,535490,1
119.0,3,103105,1
121.0,1,1000,0
122.0,1,500,0
123.0,1,1000,0
125.0,14,17542,1
126.0,1,3900,0
127.0,1,8925,0
128.0,2,5480,1
129.0,1,700,0
130.0,3,20035,1
131.0,2,11925,1
132.0,1,8675,0
133.0,3,6769,1
134.0,2,6210,1
135.0,4,6700,1
136.0,1,8250,0
137.0,3,14000,1
138.0,566,1380265,1
139.0,1,9000,0
140.0,1,4930,0
141.0,1,7280,0
143.0,1,3000,0
144.0,75,364543,1
146.0,1,5160,0
147.0,16,83675,1
149.0,1,2720,0
150.0,1,18100,0
151.0,1,3000,0
158.0,1,900,0
161.0,1,900,0
162.0,2,1400,1
163.0,1,700,0
171.0,1,700,0
180.0,1,700,0
184.0,15,46611,1
185.0,32,85303,1
187.0,2,14532,1
190.0,2,10575,1
191.0,1,250,0
192.0,1,900,0
193.0,38,51080,1
194.0,10,25982,1
195.0,1,39000,0
196.0,3,3894,1
200.0,54,107280,1
203.0,1295,4999663,1
206.0,1,3425,0
207.0,1,1208,0
208.0,1,1208,0
212.0,1,2500,0
213.0,1,3350,0
215.0,1,8666,0
217.0,1,1708,0
226.0,1,1708,0
